# Banco de Dados Acervo Técnico - Tabela Completa

| CAT        | Obra                           | Ano  | Serviço               | Quantidade | Cidade                       | Unidade |
| ---------- | ------------------------------ | ---- | --------------------- | ---------- | ---------------------------- | ------- |
| CAT-001-01 | Projeto Preá                   | 2012 | Terraplenagem         | 892        | Salvador                     | m³      |
| CAT-001-02 | Projeto Preá                   | 2012 | Pavimentação          | 571        | Salvador                     | m³      |
| CAT-001-03 | Projeto Preá                   | 2012 | Pavimentação          | 198        | Salvador                     | m³      |
| CAT-001-04 | Projeto Preá                   | 2012 | Drenagem              | 926        | Salvador                     | m       |
| CAT-001-05 | Projeto Preá                   | 2012 | Paisagismo            | 49         | Salvador                     | m²      |
| CAT-001-06 | Projeto Preá                   | 2012 | Estruturas Metálicas  | 670        | Salvador                     | t       |
| CAT-001-07 | Projeto Preá                   | 2012 | Instalações Elétricas | 310        | Salvador                     | un      |
| CAT-001-08 | Projeto Preá                   | 2012 | Sinalização           | 508        | Salvador                     | un      |
| CAT-001-09 | Projeto Preá                   | 2012 | Fundações             | 820        | Salvador                     | m³      |
| CAT-001-10 | Projeto Preá                   | 2012 | Instalações Elétricas | 507        | Salvador                     | un      |
| CAT-002-01 | Complexo Tatu-Bola             | 2016 | Instalações Elétricas | 553        | Curitiba                     | un      |
| CAT-002-02 | Complexo Tatu-Bola             | 2016 | Estruturas Metálicas  | 659        | Curitiba                     | t       |
| CAT-002-03 | Complexo Tatu-Bola             | 2016 | Fundações             | 533        | Curitiba                     | m³      |
| CAT-002-04 | Complexo Tatu-Bola             | 2016 | Drenagem              | 610        | Curitiba                     | m       |
| CAT-002-05 | Complexo Tatu-Bola             | 2016 | Fundações             | 475        | Curitiba                     | m³      |
| CAT-002-06 | Complexo Tatu-Bola             | 2016 | Estruturas Metálicas  | 615        | Curitiba                     | t       |
| CAT-002-07 | Complexo Tatu-Bola             | 2016 | Montagem de Painéis   | 565        | Curitiba                     | un      |
| CAT-002-08 | Complexo Tatu-Bola             | 2016 | Montagem de Painéis   | 434        | Curitiba                     | un      |
| CAT-002-09 | Complexo Tatu-Bola             | 2016 | Pavimentação          | 402        | Curitiba                     | m³      |
| CAT-002-10 | Complexo Tatu-Bola             | 2016 | Fundações             | 64         | Curitiba                     | m³      |
| CAT-003-01 | Empreendimento Mocó            | 2011 | Revestimentos         | 327        | Rio de Janeiro               | m²      |
| CAT-003-02 | Empreendimento Mocó            | 2011 | Drenagem              | 701        | Rio de Janeiro               | m       |
| CAT-003-03 | Empreendimento Mocó            | 2011 | Montagem de Painéis   | 262        | Rio de Janeiro               | un      |
| CAT-003-04 | Empreendimento Mocó            | 2011 | Sinalização           | 261        | Rio de Janeiro               | un      |
| CAT-003-05 | Empreendimento Mocó            | 2011 | Estruturas Metálicas  | 413        | Rio de Janeiro               | t       |
| CAT-003-06 | Empreendimento Mocó            | 2011 | Pavimentação          | 776        | Rio de Janeiro               | m³      |
| CAT-003-07 | Empreendimento Mocó            | 2011 | Paisagismo            | 469        | Rio de Janeiro               | m²      |
| CAT-003-08 | Empreendimento Mocó            | 2011 | Instalações Elétricas | 535        | Rio de Janeiro               | un      |
| CAT-003-09 | Empreendimento Mocó            | 2011 | Instalações Elétricas | 863        | Rio de Janeiro               | un      |
| CAT-003-10 | Empreendimento Mocó            | 2011 | Pavimentação          | 228        | Rio de Janeiro               | m³      |
| CAT-004-01 | Centro Carcará                 | 2011 | Paisagismo            | 588        | Curitiba                     | m²      |
